TITLE, RATING, REASON, DISTRIBUTOR, ALT TITLES, OTHER, SEXUALITY, NUDITY, VIOLENCE, LANGUAGE, SUBSTANCE
"Tortured  The (2012)", R, "Rated R for sadistic violence and torture  language and a scene of sexuality.", IFC Films, NA, NA, 1, 0, 1, 1, 0
Total Retribution (2012), R, "Rated R for violence  language and some graphic nudity.", Phase 4 Films Inc., Earth Killer, NA, 0, 1, 1, 1, 0
Trance (2012), R, "Rated R for sexual content  graphic nudity  violence  some grisly images  and language.", Twentieth Century Fox Film Corp., NA, NA, 1, 1, 1, 1, 0
Trishna (2012), R, "Rated R for sexuality  some violence  drug use and language.", IFC Films, NA, NA, 1, 0, 1, 1, 1
Ultrasonic (2012), R, Rated R for language and a scene of sexuality., Garden Thieves Pictures, NA, NA, 1, 0, 0, 1, 0
Universal Soldier: Day Of Reckoning (2012), R, "Rated R for brutal bloody violence throughout  strong sexual content  graphic nudity  and language.", Magnolia Pictures, Universal Soldier 4; Universal Soldier: A New Dimension, NA, 1, 1, 1, 1, 0
V/H/S (2012), R, "Rated R for bloody violence  strong sexuality  graphic nudity  pervasive language and some drug use.", Magnolia Pictures, NA, NA, 1, 1, 1, 1, 1
"Victim  The (2012)", R, "Rated R for strong violent and sexual content  language and some drug use.", "Anchor Bay Entertainment  LLC", NA, NA, 1, 0, 1, 1, 1
Vile (2012), R, "Rated R for brutal violence  torture and language throughout.", "Inception Media Group  LLC", NA, NA, 0, 0, 1, 1, 0
Virginia (2012), R, Rated R for language and some sexual content., Entertainment One Film USA LLC, What's Wrong With Virginia, Edited for re-rating, 1, 0, 0, 1, 0
War Of The Arrows (2012), R, Rated R for bloody violence., "Well Go USA  Inc.", NA, NA, 0, 0, 1, 0, 0
"Watch  The (2012)", R, "Rated R for some strong sexual content including references  pervasive language and violent images.", Twentieth Century Fox Film Corp., Neighborhood Watch, NA, 1, 0, 1, 1, 0
We The Party (2012), R, "Rated R for sexual content  language and brief drug use - all involving teens.", ARC Entertainment, NA, NA, 1, 0, 0, 1, 1
Werewolf: The Beast Among Us (2012), R, Rated R for bloody violence and grisly images throughout., Universal Studios Home Entertainment LLC, "Wolfman 2; Wolfman  The", NA, 0, 0, 1, 0, 0
West Of Memphis (2012), R, Rated R for disturbing violent content and some language., Sony Pictures Classics, NA, NA, 0, 0, 1, 1, 0
What A Man (2012), R, Rated R for sexual content and language., Twentieth Century Fox Film Corp., NA, NA, 1, 0, 0, 1, 0
What Maisie Knew (2012), R, Rated R for some language., Millennium Entertainment, NA, NA, 0, 0, 0, 1, 0
WHITE T (2012), R, "Rated R for crude and sexual content throughout  brief nudity  pervasive language and some drug use.", Project 8 Films, NA, NA, 1, 1, 0, 1, 1
Why Stop Now (2012), R, "Rated R for language throughout  and drug content.", IFC Films, Predisposed; Why Stop Now?, NA, 0, 0, 0, 1, 1
Wish You Were Here (2012), R, "Rated R for language  some drug content  brief sexuality and violence.", Entertainment One Film USA LLC, NA, NA, 1, 0, 1, 1, 1
Wrong Turn 5: Bloodlines (2012), R, "Rated R for strong bloody horror violence  sexuality  language and drug content.", Twentieth Century Fox Home Entertainment LLC, Wrong Turn 5, NA, 1, 0, 1, 1, 1
Yellow Rock (2012), R, Rated R for some violence., "Screen Media Ventures  LLC", NA, NA, 0, 0, 1, 0, 0
You're Nobody 'Til Somebody Kills You (2012), R, "Rated R for language  violence including a sexual assault  and some drug use.", Grindstone Entertainment Group, NA, NA, 1, 0, 1, 1, 1
Your Sister's Sister (2012), R, Rated R for language and some sexual content., IFC Films, NA, NA, 1, 0, 0, 1, 0
Zero Dark Thirty (2012), R, "Rated R for strong violence including brutal disturbing images  and for language.", Columbia Pictures, Untitled Kathryn Bigelow, NA, 0, 0, 1, 1, 0
